Year,LocalityCode,LocalityName,Treatment,Plot,Method,Agrostis_capillaris,Alchemilla_glabra,Alchemilla_sp_,Alnus_incana,Andromeda_polifolia,Anemone_nemorosa,Anthoxanthum_odoratum,Aqonitium_lycoctonium,Athyrium_filix_femina,Avenella_flexuosa,Bare_ground,Bare_ground_branch,Betula_pendula,Betula_pubescens,Blechnum_spicant,Bryophyta,Calamagrostis_phragmitoides,Calamagrostis_sp,Calluna_vulgaris,Cares_flava,Carex_canescens,Carex_echinata,Carex_nigra,Carex_pallescens,Carex_pilulifera,Carex_sp_,Cerastium_fontanum,Chamaepericlymenum_suecicum,Chrysosplenium_alternifolium,Circium_heterophyllum,Cirriphyllum_piliferum,Cow_shit,Cystopteris_fragilis,Dactylorhiza_fuchsii,Dactylorhiza_maculata,Deschampsia_cespitosa,Dicranum_sp,Dryopteris_carthusiana,Dryopteris_expansa,Dryopteris_filix_mas,Empetrum_nigrum,Epilobium_angustifolium,Epilobium_hornemannii,Epilobium_montanum,Epilobium_sp_,Equisetum_arvense,Equisetum_pratense,Equisetum_sylvaticum,Eriophorum_angustifolium,Eriophorum_vaginatum,Festuca_sp,Filipendula_ulmaria,Fragaria_vesca,Galeopsis_sp_,Galeopsis_tetrahit,Geranium_sylvaticum,Geum_rivale,Geum_urbanum,Goodyera_repens,Gras_1,Gymnocarpium_dryopteris,Huperzia_selago,Hylocomiastrum_umbratum,Hylocomium_splendens,Hypericum_sp,Juniperus_communis,Lichens,Linnaea_borealis,Listera_cordata,Listera_ovata,Litter,Luzula_pilosa,Luzula_sp_,Lycopodium_annotinum,Maianthemum_bifolium,Marchantiophyta,Melampyrum_pratense,Melampyrum_sylvaticum,Melica_nutans,Milium_effusum,Molinia_caerulea,No_occurrence,Orthilia_secunda,Oxalis_acetosella,Phegopteris_connectilis,Picea_abies,Pinguicula_vulgaris,Pinus_sylvestris,Plagiochila_asplenioides,Plagiomnium_ellipticum,Plagiomnium_undulatum,Plagiothecium_laetum_curvifolium,Plagiothecium_undulatum,Pleurozium_schreberi,Poa_nemoralis,Poa_pratensis,Poaceae,Polytrichum_astrum,Pooideae_sp_,Potentilla_erecta,Ptilidium_ciliare,Ptilium_crista_castrensis,Pyrola_sp_,Ranunculus_acris,Ranunculus_repens,Rhodobryum_roseum,Rhytidiadelphus_loreus,Rhytidiadelphus_squarrosus_subpinnatus,Rhytidiadelphus_triquetrus,Rubus_chamaemorus,Rubus_idaeus,Rubus_saxatilis,Rumex_acetosa,Salix_caprea,Salix_sp_,Sciuro_hypnum_reflexum,Sciuro_hypnum_starkei,Selaginella_selaginoides,Solidago_virgaurea,Sorbus_aucuparia,Sphagnum_sp,Stellaria_graminea,Taraxacum_officinale,Trientalis_europaea,Vaccinium_myrtillus,Vaccinium_uliginosum,Vaccinium_vitis_idaea,Veronica_chamaedrys,Veronica_officinalis,Viola_sp_
2016,1KB,namdalseid_1kub,B,7,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2016,1KB,namdalseid_1kub,B,7,Point_Intercept,,,,,,,,,,48,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,10,,,,1,3,5,,,,,,,,,17,,,,,,,,3,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,2,39,,,,,
2016,1KB,namdalseid_1kub,B,8,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,
2016,1KB,namdalseid_1kub,B,8,Point_Intercept,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,,,,1,4,,1,,,,,,,,41,,,,,,,,2,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,7,Point_Intercept,,,,,,,,,,,,,,,,12,,,12,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,4,,,,,2,1,,,,,,,,,,,,,,,,,11,,,,,,,,7,,,,,,,,1,,,,,,,,,,,11,,,,1,3,13,,,
2016,1VBUB,verdal_1vb,UB,8,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,8,Point_Intercept,,,,,,,,,,2,,,,,,12,,,10,,,,,,,,,,,,,,,,,,7,,,,9,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,10,,,,,,,,5,,,,,,,,,,,15,,,,4,1,7,,,
2016,1VBUB,verdal_1vb,UB,9,Observed,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,9,Point_Intercept,,,,,,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,6,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,3,4,10,,,
2016,1VBUB,verdal_1vb,UB,10,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,10,Point_Intercept,,,,,,,,,,1,,,,,,13,,,4,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,2,,12,,,
2016,1BBB,steinkjer_1BBb,B,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2016,1BBB,steinkjer_1BBb,B,3,Point_Intercept,,,,,,,,,,10,1,,,,,8,,,2,1,,,,,,,,4,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,7,,,,5,,6,,,,,,,,,,,,,,,,,11,,,,,,2,,3,,,,,6,7,,,,,,,,,,,,,,,,,11,,,,,
2016,1BBB,steinkjer_1BBb,B,4,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1BBB,steinkjer_1BBb,B,4,Point_Intercept,,,,,,,,,,2,,,,,,10,6,,,,,,,,,,,10,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,6,,,,1,1,1,10,,,,,,,,,,,,,2,,,14,,,,,,,,2,,,,,5,4,,,,,,,,,,,,,2,,,,45,,,,,
2016,1BBB,steinkjer_1BBb,B,7,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
2016,1BBB,steinkjer_1BBb,B,7,Point_Intercept,,,,,,,,,,16,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,7,1,,,3,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,
2016,1BBB,steinkjer_1BBb,B,9,Observed,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1BBB,steinkjer_1BBb,B,9,Point_Intercept,23,,,,,,,,,,,,,,2,1,,,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,15,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,9,,1,,,,,1,12,,,,,,,,,,,4,,,,,,4,,,,,
2016,1BBB,steinkjer_1BBb,B,10,Observed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1BBB,steinkjer_1BBb,B,10,Point_Intercept,,,,,,1,,,,17,,,,,20,1,,,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,15,1,,,2,,,5,,,,,,,,,,,,,,,,1,,,,,,10,,1,,,,,,2,,,,,,,,,,,1,,,,,,23,,,,,
2016,1BBB,steinkjer_1BBb,B,1,Observed,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1BBB,steinkjer_1BBb,B,1,Point_Intercept,,,,,,1,,,,22,,,,,,11,,,,,,,,,,,,3,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,5,,,,,3,1,,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,7,12,,,,,,,,,,,1,,,,,,15,,8,,,
2016,1BBB,steinkjer_1BBb,B,2,Observed,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1BBB,steinkjer_1BBb,B,2,Point_Intercept,,,,,,,,,,5,,,,,,7,,,,,,,,,,,,16,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,,,,,9,,,,2,,4,11,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,18,,,,,
2016,1BBB,steinkjer_1BBb,B,5,Observed,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
2016,1BBB,steinkjer_1BBb,B,5,Point_Intercept,,,,,,,,,,7,,,,,,11,,,,,,,,,,,,10,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,8,,,,,,,,,,24,,,,,,,,15,,,,,,,,2,,,,,4,4,,,,,,,,,,,,,,,,,35,,,,,
2016,1BBB,steinkjer_1BBb,B,6,Observed,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
2016,1BBB,steinkjer_1BBb,B,6,Point_Intercept,,,,,,,,,,20,,,,39,,6,,,,,,,,,,,,,,,,,,,,1,9,,,,,2,,,,,,,,,,,,,,,,,,,9,,,3,,,,,,,10,,,,11,,,4,,,,,,,9,79,,,,,,,,1,,,,,,,,,,,,1,2,5,,,,1,,,,7,,,,7,,,,1,11,,,,,
2016,1BBB,steinkjer_1BBb,B,8,Observed,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
2016,1BBB,steinkjer_1BBb,B,8,Point_Intercept,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,24,,2,,,,,,,,16,2,,,1,,,44,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,9,,,,,1,,,,,,,,2,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,1,Observed,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,1,Point_Intercept,,,,,,,,,,9,,,,,,14,,,,,,,,,,,,2,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,23,,,2,1,,,,12,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,8,1,,,,,,,,,,,,3,,,,,2,,,,,
2016,1BBUB,steinkjer_1BBb,UB,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,2,Point_Intercept,,,,,,,,,,9,,,,,,13,,,,,,,,,,,,3,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,1,,,3,,,,1,13,1,,,,,,,,,,,,4,,4,,,10,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,17,,2,,,
2016,1BBUB,steinkjer_1BBb,UB,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,3,Point_Intercept,,,,,,,,,,3,,,,,,11,,,,,,,,,,,,6,,,,,,,,,7,,2,,,3,,,,,,,,,,,,,,,,,,,,,,10,,,,4,,,5,,,,2,2,2,,,,,,,,,18,,,,,,,,9,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,8,,1,,,
2016,1BBUB,steinkjer_1BBb,UB,4,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,4,Point_Intercept,,,,,,,,,,5,,,,,,14,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,24,,4,,,
2016,1BBUB,steinkjer_1BBb,UB,5,Observed,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,5,Point_Intercept,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,2,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,13,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,2,3,,,,,
2016,1BBUB,steinkjer_1BBb,UB,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,6,Point_Intercept,,,,,,,,,,28,,,,,,3,,,,,,,,,,,,13,,,,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,,4,,,10,,,,1,,,13,6,,,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,8,1,,,,,,,,,,,,3,,,,1,3,,,,,
2016,1BBUB,steinkjer_1BBb,UB,7,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,7,Point_Intercept,,,,,,1,,,,24,,,,,,4,,,,,,,,8,,,,,,,,,,,,,14,,3,,,10,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,12,3,,,,12,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,8,11,3,,,,,,,,,,3,13,,,,,7,,,,,
2016,1BBUB,steinkjer_1BBb,UB,8,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
2016,1BBUB,steinkjer_1BBb,UB,8,Point_Intercept,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,1,,,3,,,,,,,,,,,,,,,,,,,51,,,1,,,,,,,15,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,2,,,,,9,,,,,
2016,1BBUB,steinkjer_1BBb,UB,9,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,
2016,1BBUB,steinkjer_1BBb,UB,9,Point_Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,16,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,10,Observed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2016,1BBUB,steinkjer_1BBb,UB,10,Point_Intercept,,,,,,,,,,19,,,,35,,7,,,,,,,,,,,,3,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,11,,,8,,,,2,6,4,19,,,,,,,,6,,,,,1,,,6,,,,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,11,,,,,
2016,2VBB,verdal_2VB,B,1,Observed,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
2016,2VBB,verdal_2VB,B,1,Point_Intercept,30,,,,,,,,,7,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,,,,10,1,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,3,,6,,,,,6,12,,,,,,,,,,,,,,,,1,,,,,,
2016,2VBB,verdal_2VB,B,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2016,2VBB,verdal_2VB,B,8,Observed,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,8,Point_Intercept,54,,,,,,,,,12,,,,24,,1,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,15,,,,,2,,2,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,2,15,,,,,,,,,,,,,,,,1,,,,,,
2016,2VBB,verdal_2VB,B,9,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,2,Point_Intercept,7,,,,,1,,,,37,,,,115,,8,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,8,,,,,2,,,,,,,,,,6,,,2,,,,,,,,,,,,,13,,,,,,9,,,2,,,,,,,,,,,,,1,10,,2,,,
2016,2VBB,verdal_2VB,B,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,3,Point_Intercept,42,,,,,,,,,10,,,,6,,1,,,,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,15,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,13,,,10,,,2,,,,,,,,,,2,1,,,,,
2016,2VBB,verdal_2VB,B,4,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,2VBB,verdal_2VB,B,4,Point_Intercept,27,,,,,,,,,15,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,13,,,,,,,15,,,,,6,,,,,,,,,,89,,,6,,,,,,,,,,,,,5,,,,,,13,,,1,,,,,,,,,,,,,,11,,1,,,
2016,2VBB,verdal_2VB,B,5,Point_Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2016,2VBB,verdal_2VB,B,6,Point_Intercept,37,,,,,,,,2,6,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,5,3,,,,,,,1,,,,,,,13,,,,,11,,,,,,,,1,,3,,,11,,,,,,,,,,,,,2,,,1,,,15,,,,5,,,,,,,,,,,,1,,,,,,
2016,2VBB,verdal_2VB,B,7,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,2VBB,verdal_2VB,B,7,Point_Intercept,,,,,,2,,,1,31,,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,16,,,,,,,9,,,,,5,,,,,,,,,,17,,,5,,,,,,,,,,,,,9,,,,,6,10,,,1,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,9,Observed,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2016,2VBB,verdal_2VB,B,9,Point_Intercept,60,,,,,1,,,,6,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,16,5,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,1,1,,,,,,
2016,2VBB,verdal_2VB,B,10,Observed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
2016,2VBB,verdal_2VB,B,10,Point_Intercept,,,,,,,,,,30,,,,,,10,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,14,,,,,,,5,,,,,1,,,,,,,,,,44,,,1,,1,,,,,,,,,,,13,,,,,5,8,,,1,,,,,,,,,,,,,,,,,,,
2016,2VBUB,verdal_2VB,UB,1,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
2016,2VBUB,verdal_2VB,UB,1,Point_Intercept,,,,,,1,,,,3,,,,,,7,,,,,,,,,,,,,,,5,,,,,,8,,,,,6,,,,,,,,,,30,,,,,,,,,8,,,10,,,,,,,9,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,16,,,,,4,3,,,2,,,,,,,,,,,,,,,,,,,
